title,category,url,episodes,aired,ended
San Guo Yan Yi,none,https://anidb.net/anime/14888,40,18.10.2017,01.03.2018
San Jian Hao Zhi Ban Mian Ren,none,https://anidb.net/anime/15613,12,15.03.2016,01.06.2016
San Mao Liu Lang Ji (2006),series,https://anidb.net/anime/11654,25,??.??.2006,-
Shanhe Sheji Tu,none,https://anidb.net/anime/14766,20,25.10.2018,14.03.2019
Shanshan de Hongxing,movie,https://anidb.net/anime/5683,1,01.10.2007,01.10.2007
Shanshui Qing,movie,https://anidb.net/anime/11939,1,??.??.1988,??.??.1988
Shao Nian Jin Yi Wei,none,https://anidb.net/anime/13722,13,09.02.2017,04.05.2017
Shao Nian Jin Yi Wei Di Er Ji,none,https://anidb.net/anime/13820,14,28.09.2017,11.01.2018
Shaonian Ge Xing,none,https://anidb.net/anime/15466,26,26.12.2018,05.06.2019
Shaonu Qianxian: Renxing Xiao Juchang,none,https://anidb.net/anime/14598,24,28.07.2019,05.01.2020
Shen Bing Xiao Jiang,series,https://anidb.net/anime/15116,52,04.10.2007,-
Shen Bing Xiao Jiang 2,series,https://anidb.net/anime/15129,52,20.01.2018,29.01.2018
Shen Diao Xia Lu II: Xiang Yang Feng Yun,series,https://anidb.net/anime/2907,26,??.??.2004,??.??.2005
Shen Po,series,https://anidb.net/anime/13664,52,26.08.2013,??.??.2014
Shen Qi Huan Ji Tan,none,https://anidb.net/anime/13596,24,31.10.2017,15.05.2018
Sheng Shi Zhuang Niang,none,https://anidb.net/anime/13772,20,24.07.2018,27.11.2018
Shengshi Chuanshuo,movie,https://anidb.net/anime/10238,1,??.??.2000,??.??.2000
Shi Huang Zhi Shen,none,https://anidb.net/anime/15675,13,01.04.2020,10.06.2020
Shi Wan Ge Leng Xiaohua,movie,https://anidb.net/anime/13567,1,31.12.2014,31.12.2014
Shi Wan Ge Leng Xiaohua 2,movie,https://anidb.net/anime/13642,1,18.08.2017,18.08.2017
Shi Wan Ge Leng Xiaohua Di Er Ji,none,https://anidb.net/anime/14312,13,31.12.2013,30.12.2014
Shi Wan Ge Leng Xiaohua Di San Ji,none,https://anidb.net/anime/14313,52,31.12.2015,27.12.2017
Shi Wan Ge Leng Xiaohua Di Yi Ji,none,https://anidb.net/anime/14311,12,11.07.2012,01.08.2013
Shi Xiong,none,https://anidb.net/anime/13353,41,24.11.2014,05.03.2015
Shi Zhi Ge: Hua Yu Yan De Kuangxiang Shi,none,https://anidb.net/anime/15664,TBC,16.07.2020,-
Shi`er Shengxiao,series,https://anidb.net/anime/14865,13,??.??.1993,??.??.1995
Shiyan Pin Jiating,none,https://anidb.net/anime/12739,12,09.04.2018,19.06.2018
Shuang Yue Zhi Cheng,none,https://anidb.net/anime/13800,13,30.03.2016,07.09.2016
Shuangsheng Lingtan,none,https://anidb.net/anime/13351,20,25.08.2016,05.01.2017
Si Ling Bianma: Shijie Caozong Zhe,none,https://anidb.net/anime/13352,12,19.12.2013,04.06.2014
Siu Sin,movie,https://anidb.net/anime/1424,1,26.07.1997,26.07.1997
Tai Yi Xian Mo Lu Zhi Ling Fei Ji,none,https://anidb.net/anime/15541,26,08.03.2016,30.09.2016
Songdai Zuqiu Xiaojiang,series,https://anidb.net/anime/14372,40,28.05.2010,-
Soul Buster: Shousei Ran,series,https://anidb.net/anime/12307,12,04.10.2016,11.12.2016
Tai Yi Xian Mo Lu Zhi Ling Fei Ji II,none,https://anidb.net/anime/15542,26,25.04.2017,10.10.2017
Storm Rider - Blueprint,special,https://anidb.net/anime/3187,1,??.??.2000,??.??.2000
Taikong Lixianji,series,https://anidb.net/anime/10186,26,16.01.2010,??.02.2010
Tang Lang Bu Chan,movie,https://anidb.net/anime/11711,1,??.??.1988,??.??.1988
"Storm Rider - Wild Winds, Raging Clouds",special,https://anidb.net/anime/3188,1,??.??.2002,??.??.2002
Sui Tang Ying Xiong Zhuan,series,https://anidb.net/anime/14864,52,07.06.2003,-
Sun Wukong Qiyu Xiaodingding,movie,https://anidb.net/anime/12248,1,??.??.1980,??.??.1980
Tao Hua Yuan Ji,movie,https://anidb.net/anime/11411,1,??.??.2006,??.??.2006
Te Ke Dong Ji Pian,none,https://anidb.net/anime/14035,54,??.??.2007,-
Sun Wukong: Dazhan Huoyanshan,movie,https://anidb.net/anime/12250,1,??.??.1987,??.??.1987
Sun Wukong: Yusanjian Baobei,movie,https://anidb.net/anime/12249,1,??.??.1989,??.??.1989
Tebie Chedui,series,https://anidb.net/anime/14835,13,??.??.1993,-
The King of Fighters: Destiny,none,https://anidb.net/anime/13005,24,03.08.2017,04.01.2018
Tian Bao Fuyao Lu,none,https://anidb.net/anime/15615,13,05.07.2020,20.09.2020
Tian Guan Ci Fu,none,https://anidb.net/anime/15648,11,31.10.2020,02.01.2021
Tian Xing Jiu Ge Di Er Ji,none,https://anidb.net/anime/14985,30,24.04.2019,-
Tian Yu 2,none,https://anidb.net/anime/15370,13,25.07.2018,17.10.2018
Tianxin Gege,series,https://anidb.net/anime/13523,52,04.10.2011,24.11.2011
Tianxin Gege Di Er Ji,series,https://anidb.net/anime/13782,52,27.09.2012,12.11.2012
Tianxin Gege Di San Ji,none,https://anidb.net/anime/14317,26,04.02.2017,11.02.2017
Tie Shan Gongzhu,movie,https://anidb.net/anime/7927,1,01.01.1941,01.01.1941
To Be Hero,series,https://anidb.net/anime/12384,12,05.10.2016,20.12.2016
To Be Heroine,none,https://anidb.net/anime/12939,7,19.05.2018,07.07.2018
Tong Ling Fei,none,https://anidb.net/anime/14963,16,30.12.2018,19.04.2019
Tonghua Wangguo Lixian Ji,series,https://anidb.net/anime/14148,80,17.04.2013,-
Tu Bian Yingxiong LEAF,none,https://anidb.net/anime/14380,12,14.04.2018,07.07.2018
Tu Xia Chuanqi,movie,https://anidb.net/anime/13814,1,11.07.2011,11.07.2011
Tu Xia: Qing Li Chuanshuo,movie,https://anidb.net/anime/13815,1,21.02.2015,21.02.2015
Tunshi Xingkong,series,https://anidb.net/anime/15867,TBC,29.11.2020,-
Valley of White Birds,movie,https://anidb.net/anime/14065,1,??.??.2017,??.??.2017
Wan Gu Xian Qiong,none,https://anidb.net/anime/13732,12,18.05.2017,27.07.2017
Wan Gu Xian Qiong II,none,https://anidb.net/anime/13922,12,15.03.2018,24.05.2018
Wan Gu Xian Qiong III: Eren Gu Pian,none,https://anidb.net/anime/14871,13,08.03.2019,17.05.2019
Wan Guo Zhi,none,https://anidb.net/anime/15723,16,23.09.2019,20.01.2020
Wan Jie Chun Qiu,none,https://anidb.net/anime/15521,56,13.04.2020,15.10.2020
Xi Yang Yang Yu Hui Tai Lang,series,https://anidb.net/anime/13392,TBC,01.06.2005,-
Xiong Chumo: Qiu Ri Tuantuanzhuan,series,https://anidb.net/anime/14168,52,09.06.2016,-
Xiong Chumo: Tanxian Riji,series,https://anidb.net/anime/14170,52,28.11.2018,-
Xi You Ji,series,https://anidb.net/anime/13562,52,23.07.1999,-
Yichang Shengwu Jianwen Lu,none,https://anidb.net/anime/14716,13,28.06.2019,20.09.2019
Xiagu Zhong An Zu,none,https://anidb.net/anime/14641,12,23.06.2017,01.09.2017
Xiong Chumo: Xiari Lianlian Kan,series,https://anidb.net/anime/14079,52,13.02.2016,-
Xian Wang De Ri Chang Sheng Huo,none,https://anidb.net/anime/14718,15,18.01.2020,28.03.2020
Xiang Ling Ji,none,https://anidb.net/anime/13442,15,10.05.2017,16.08.2017
Yingxiong Zai Lin,none,https://anidb.net/anime/15785,12,18.10.2020,27.12.2020
Xiong Chumo: Xiongxiong Leyuan,series,https://anidb.net/anime/14169,52,28.04.2017,-
Xiangqi Wang,series,https://anidb.net/anime/4856,26,??.??.2006,-
Xiong Chumo: Xiongxiong Leyuan 2,series,https://anidb.net/anime/14171,52,09.06.2018,-
Yinyang Shi: Pingan Wuyu,none,https://anidb.net/anime/14191,12,21.04.2018,08.07.2018
Xiong Chumo: Xue Ling Xiong Feng,movie,https://anidb.net/anime/13777,1,30.01.2015,30.01.2015
Xiao Bei Liu Lang Ji,series,https://anidb.net/anime/14896,10,01.01.1999,-
You Yao,none,https://anidb.net/anime/15681,12,10.07.2020,18.09.2020
Xiong Chumo: Yuanshi Shida,movie,https://anidb.net/anime/14879,1,05.02.2019,05.02.2019
Xiao Hua Xian,series,https://anidb.net/anime/13663,52,14.02.2014,10.05.2014
Youtai Nuhai Zai Shanghai,movie,https://anidb.net/anime/10188,1,??.05.2010,??.05.2010
Xiao Hua Xian 2,series,https://anidb.net/anime/13709,52,07.08.2015,26.12.2015
Youtai Nuhai Zai Shanghai 2: Xiang Lian Mi Ma,movie,https://anidb.net/anime/13719,1,28.08.2015,28.08.2015
Xiao Hua Xian 3,series,https://anidb.net/anime/13710,40,07.04.2017,18.08.2017
Xiongmao He Xiao Yan Shu,series,https://anidb.net/anime/13816,52,28.03.2016,-
Xixing Ji,none,https://anidb.net/anime/14374,16,18.07.2018,10.10.2018
Yu Bang Xiang Zheng,movie,https://anidb.net/anime/11710,1,??.??.1983,??.??.1983
Xiao Lu He Xiao Lan,none,https://anidb.net/anime/14373,72,27.08.2018,16.02.2019
Wan Jie Shen Zhu,none,https://anidb.net/anime/14651,60,06.02.2019,-
Xiao Men Shen,movie,https://anidb.net/anime/12191,1,01.01.2016,01.01.2016
Xiao Niu Xiang Qian Chong,series,https://anidb.net/anime/15691,52,26.08.2009,16.10.2009
Yu Tong,movie,https://anidb.net/anime/15212,1,??.??.1959,-
Xixing Ji: Jijie Pian,none,https://anidb.net/anime/15039,22,11.09.2019,29.01.2020
Yuan Long,none,https://anidb.net/anime/15671,16,11.07.2020,03.10.2020
Xiao Taiji,series,https://anidb.net/anime/11651,14,??.??.1999,??.??.1999
Ze Tian Ji,none,https://anidb.net/anime/13466,13,15.07.2015,23.12.2015
Xiao Yeyou,none,https://anidb.net/anime/13509,1,12.03.2014,12.03.2014
Ze Tian Ji Di Er Ji,none,https://anidb.net/anime/13467,12,20.07.2016,05.10.2016
Ze Tian Ji Di San Ji,none,https://anidb.net/anime/13468,12,26.07.2017,11.10.2017
Xiyangyang Yu Huitailang 2: Hu Hu Sheng Wei,movie,https://anidb.net/anime/8431,1,29.01.2010,29.01.2010
Wan Jie Xian Zong Di San Ji,none,https://anidb.net/anime/15345,48,17.10.2019,09.04.2020
Ze Tian Ji Di Si Ji,none,https://anidb.net/anime/14297,12,22.08.2018,31.10.2018
Xiyangyang Yu Huitailang 3: Tu Nian Dingguagua,movie,https://anidb.net/anime/9143,1,21.01.2011,21.01.2011
Xiao Zhuoma,series,https://anidb.net/anime/15199,52,??.??.2008,-
Xiyangyang Yu Huitailang 4: Kaixin Chuang Long Nian,movie,https://anidb.net/anime/9142,1,12.01.2012,12.01.2012
Zhan Long Si Qu,none,https://anidb.net/anime/11653,64,??.03.2009,??.??.2009
Wan Sheng Jie,none,https://anidb.net/anime/15576,12,01.04.2020,27.05.2020
Xiyangyang Yu Huitailang: Niu Qi Chong Tian,movie,https://anidb.net/anime/8430,1,16.01.2009,16.01.2009
Xie Wang Zhui Qi,none,https://anidb.net/anime/14860,13,24.01.2019,11.04.2019
Zhandou Wang: Jufeng Zhan Hun,series,https://anidb.net/anime/12920,52,23.08.2012,18.08.2013
Xin Jue,none,https://anidb.net/anime/15800,13,13.10.2020,29.12.2020
Zhandou Wang: Jufeng Zhan Hun 2,series,https://anidb.net/anime/12958,40,??.10.2013,??.02.2014
Xiyouji: Da Sheng Gualai,movie,https://anidb.net/anime/12747,1,10.07.2015,10.07.2015
Wan Sheng Jie 2,none,https://anidb.net/anime/15939,12,14.10.2020,16.12.2020
Wangpai Yushi,none,https://anidb.net/anime/13474,39,25.07.2014,20.01.2016
Zhandou Wang: Jufeng Zhan Hun 3,series,https://anidb.net/anime/12960,40,03.09.2015,12.10.2015
Xiyue Qi Tong (2006),movie,https://anidb.net/anime/12146,1,??.??.2006,??.??.2006
Xing Chen Bian,none,https://anidb.net/anime/14645,12,05.10.2018,14.12.2018
Xing Chen Bian (2020),none,https://anidb.net/anime/15594,12,03.05.2020,31.05.2020
Zhanguo Fan,none,https://anidb.net/anime/14867,15,20.07.2016,02.11.2016
Xue Se Cang Qiong,none,https://anidb.net/anime/13801,26,18.08.2017,26.01.2018
Xing You Ji: Fengbao Fa Mi La,none,https://anidb.net/anime/13712,1,11.08.2017,11.08.2017
Xue Ying Lingzhu,none,https://anidb.net/anime/14726,30,20.12.2018,16.01.2020
Zhen Hun Jie: Bei Luo Shi Men Pian 1,none,https://anidb.net/anime/15940,5,28.12.2019,18.01.2020
Wangzhe Wai Chuan,none,https://anidb.net/anime/13850,12,12.01.2018,28.03.2018
Xiong Bing Lian,none,https://anidb.net/anime/13802,33,01.06.2017,19.04.2018
Wangzhe Wai Chuan Di Er Ji,none,https://anidb.net/anime/14652,12,02.01.2019,-
Yao Jing Zhong Zhi Shou Ce,none,https://anidb.net/anime/15436,14,17.01.2020,10.04.2020
Yao Shen Ji,none,https://anidb.net/anime/13191,40,09.05.2017,22.09.2017
Zheng Chenggong,series,https://anidb.net/anime/15223,52,17.02.2014,-
Xiong Chumo,series,https://anidb.net/anime/11957,104,22.01.2012,??.??.2012
"Wei, Kan Jian Er Duo La! (2019)",none,https://anidb.net/anime/14733,12,02.02.2019,13.04.2019
Zheng Yi Hong Shi,series,https://anidb.net/anime/15224,52,04.10.2014,30.10.2014
Xiong Chumo: Chunri Dui Dui Peng,series,https://anidb.net/anime/12535,52,28.11.2014,-
Zhengjiu Zhuluoji,series,https://anidb.net/anime/14832,13,??.05.2007,??.09.2008
Yao Shen Ji 2,none,https://anidb.net/anime/13868,40,06.01.2018,23.05.2018
Xiong Chumo: Conglin Zhongdongyuan,series,https://anidb.net/anime/12534,104,13.07.2013,-
Xiong Chumo: Dongri Le Fantian,series,https://anidb.net/anime/12536,52,10.07.2015,-
Weiqi Shaonian,series,https://anidb.net/anime/14830,26,28.07.2005,-
Yao Shen Ji 3,none,https://anidb.net/anime/14473,40,25.09.2018,01.02.2019
Zhong Hua Xiao Zi,series,https://anidb.net/anime/14037,26,16.12.2006,??.??.2007
Xiong Chumo: Duo Bao Qibing,movie,https://anidb.net/anime/11958,1,17.01.2014,17.01.2014
Weiqi Shaonian 2,series,https://anidb.net/anime/14862,26,??.09.2009,-
Wo De Ni Tian Shenqi,none,https://anidb.net/anime/14029,16,26.04.2018,09.08.2018
Xiong Chumo: Guonian,special,https://anidb.net/anime/13775,1,08.02.2013,08.02.2013
Yao Shen Ji: Hei Yu Pian,none,https://anidb.net/anime/15670,52,08.04.2020,27.09.2020
Yaoguai Mingdan,none,https://anidb.net/anime/12778,18,12.12.2014,11.09.2015
Zhong Kui Chuan Qi: Sui Han San You,movie,https://anidb.net/anime/13711,1,02.12.2017,02.12.2017
Wo De Tian Jie Nuyou,none,https://anidb.net/anime/13588,15,20.09.2017,03.01.2018
Yaoguai Mingdan 2nd Season,none,https://anidb.net/anime/14078,21,03.08.2017,29.12.2017
Zhonghua Dizi Gui,series,https://anidb.net/anime/14930,60,??.??.2010,-
Xiong Chumo: Huanqiu Da Maoxian,series,https://anidb.net/anime/12533,104,01.02.2012,-
Wo Kai Dongwuyuan Naxie Nian,none,https://anidb.net/anime/15508,13,05.04.2020,21.06.2020
Xiong Chumo: Nianhuo,special,https://anidb.net/anime/13776,1,30.01.2014,30.01.2014
Wo Shi Da Shenxian,none,https://anidb.net/anime/15860,TBC,12.11.2020,-
Yi Kong Zhi Dian,series,https://anidb.net/anime/12791,40,??.04.2013,-
Zhonghua Dizi Gui 2,series,https://anidb.net/anime/14931,120,??.??.2011,-
Wo Shi Jiang Xiaobai,none,https://anidb.net/anime/13737,12,09.11.2017,24.01.2018
Zhu Zhu Xia: Bai Bian Lian Meng,series,https://anidb.net/anime/13456,52,27.01.2015,27.03.2015
Wo Shi Jiang Xiaobai Di Er Ji,none,https://anidb.net/anime/14673,12,09.11.2018,16.01.2019
Zhu Zhu Xia: Bian Shen Xiao Ying Xiong,series,https://anidb.net/anime/13454,52,??.11.2013,-
Yi Nian Yong Heng,none,https://anidb.net/anime/15693,52,12.08.2020,-
Zhu Zhu Xia: Bian Shen Zhandui,series,https://anidb.net/anime/13455,52,10.08.2014,-
Wo Shi Jiang Xiaobai: Shijie Shang de Ling Yige Wo,none,https://anidb.net/anime/14674,1,25.05.2018,25.05.2018
Wo Shi Nezha,movie,https://anidb.net/anime/13974,1,01.10.2016,01.10.2016
Yi Ren Zhi Xia 2,none,https://anidb.net/anime/13068,24,27.10.2017,18.05.2018
Wo Wei Ge Kuang,series,https://anidb.net/anime/10187,52,06.08.2001,-
Wojia Da Shixiong Naozi You Keng,none,https://anidb.net/anime/13647,26,04.04.2018,23.06.2018
Wu Dong Qiankun,none,https://anidb.net/anime/14649,12,27.01.2019,07.04.2019
Yi Shijie Zhongyao Pu,none,https://anidb.net/anime/15645,40,08.05.2020,11.09.2020
Zhu Zhu Xia: Chao Xing Meng Chong 1,series,https://anidb.net/anime/13461,26,27.05.2017,-
Yi Wan Nian Yi Hou,movie,https://anidb.net/anime/13149,1,27.03.2015,27.03.2015
Wu Dong Qiankun 2nd Season,none,https://anidb.net/anime/15687,12,12.07.2020,20.09.2020
Wu Geng Ji III: Sanjie Yuanqi,none,https://anidb.net/anime/15682,TBC,20.12.2019,-
Wu Lan Qi Qi Ge,series,https://anidb.net/anime/11650,26,??.??.2007,-
Wu Liuqi: Xuanwu Guo Pian,none,https://anidb.net/anime/15961,10,27.01.2021,05.05.2021
Wu Liuqi: Zui Qiang Fa Xing Shi,none,https://anidb.net/anime/15381,10,23.10.2019,01.01.2020
Wu Shan Wu Xing,none,https://anidb.net/anime/15663,3,26.07.2020,09.08.2020
Wu Shang Shen Di,none,https://anidb.net/anime/15573,64,18.05.2020,18.12.2020
Wu Shen Zhu Zai,none,https://anidb.net/anime/15443,TBC,08.03.2020,-
Wukong Dazhan Er Lang Shen,movie,https://anidb.net/anime/12251,1,??.??.2007,??.??.2007
